0.01, -0.027549, -0.15261, 0.692165, -0.004755, -0.009461, -0.005825, 0.073657, -2.0004, -4.15579, -0.048991, -0.007081, -0.013457
0.021, -0.027549, -0.15261, 0.692165, -0.004755, -0.009461, -0.005825, 0.073657, -2.0004, -4.15579, -0.048991, -0.007081, -0.013457
0.04, 0.12769, -0.231148, 1.32276, 0.00171, -0.004939, -0.016449, -0.550051, -0.008095, 0.006005, -0.020222, -0.004921, -0.011008
0.051, 0.12769, -0.231148, 1.32276, 0.00171, -0.004939, -0.016449, -0.550051, -0.008095, 0.006005, -0.020222, -0.004921, -0.011008
0.064, 0.089073, -0.281043, 0.500403, -0.001333, 0.000488, -0.010619, -0.767521, 1.01654, 0.431098, -0.001246, -0.006961, -0.00246
0.075, -0.024466, -0.128336, 0.534387, -0.001371, -0.000703, -0.007831, -0.883404, 1.74923, 2.30444, 0.010247, -0.003542, 0.000766
0.086, 0.037812, -0.198753, 0.49546, -0.000643, 0.004235, -0.007279, -0.817633, 2.09503, 2.52009, 0.013583, -0.005749, 0.003516
0.1, 0.037812, -0.198753, 0.49546, -0.000643, 0.004235, -0.007279, -0.817633, 2.09503, 2.52009, 0.013583, -0.005749, 0.003516
0.111, -0.04322, -0.201172, 1.30425, 0.000987, 0.002741, -0.011579, -0.684018, 1.91727, 3.22497, 0.018659, -0.002781, 0.001112
0.122, 0.038621, -0.245414, 0.987519, -0.000954, 0.004488, -0.011195, -0.435078, 1.58423, 2.02239, 0.006648, -0.000883, 0.006234
0.133, 0.038621, -0.245414, 0.987519, -0.000954, 0.004488, -0.011195, -0.435078, 1.58423, 2.02239, 0.006648, -0.000883, 0.006234
0.144, -0.038913, -0.165485, 0.878545, -0.001655, -0.001463, -0.008993, -0.206597, 0.964075, 0.548509, -0.0049, -0.001978, 0.010663
0.155, 0.069155, -0.165781, 1.04865, 0.000166, 0.000929, -0.010674, -0.050813, 0.272697, 1.10518, -0.01932, -0.000536, 0.00215
0.168, 0.036806, -0.13237, 0.444427, 3.6e-05, -0.000958, -0.006624, 0.089747, 0.321914, -0.599717, -0.033159, -0.006225, 0.008118
0.18, 0.036806, -0.13237, 0.444427, 3.6e-05, -0.000958, -0.006624, 0.089747, 0.321914, -0.599717, -0.033159, -0.006225, 0.008118
0.191, 0.099484, -0.169562, 0.155402, -0.001089, -0.001324, -0.005006, -0.30487, 0.498464, 0.182314, -0.023409, -0.004632, 0.003766
0.206, 0.127741, -0.168202, 0.781455, 0.001326, -0.001105, -0.009369, -0.338581, 0.351425, 0.442697, -0.027966, -0.001545, 0.000867
0.222, 0.127741, -0.168202, 0.781455, 0.001326, -0.001105, -0.009369, -0.338581, 0.351425, 0.442697, -0.027966, -0.001545, 0.000867
0.233, 0.156082, -0.082499, 0.249713, 0.000307, -0.005313, -0.004089, -0.216607, -0.192476, -0.755318, -0.035137, -0.004359, -0.0035
0.244, 0.156082, -0.082499, 0.249713, 0.000307, -0.005313, -0.004089, -0.216607, -0.192476, -0.755318, -0.035137, -0.004359, -0.0035
0.254, 0.127991, -0.078668, 1.00223, 0.003174, -0.003676, -0.009554, -0.392545, -0.377879, -0.370678, -0.037593, -0.00323, -0.012828
0.265, 0.127991, -0.078668, 1.00223, 0.003174, -0.003676, -0.009554, -0.392545, -0.377879, -0.370678, -0.037593, -0.00323, -0.012828
0.276, 0.133141, -0.023198, 0.688239, 0.004231, -0.003861, -0.008608, -0.417912, -0.847416, -1.31357, -0.060389, -0.002767, -0.016638
0.287, 0.085708, 0.049973, 0.914066, 0.006157, -0.011366, -0.010202, -0.172633, -1.13752, -1.7871, -0.068419, -0.004347, -0.015548
0.298, 0.085708, 0.049973, 0.914066, 0.006157, -0.011366, -0.010202, -0.172633, -1.13752, -1.7871, -0.068419, -0.004347, -0.015548
0.309, 0.032617, 0.002057, 0.902444, 0.003046, -0.00539, -0.006119, -0.189268, -1.39361, -1.98879, -0.070985, -0.003082, -0.015736
