Left Force Sensor
# Axis 1
-0.420886
0.239612
-0.874895
# Axis 2
-0.822203
0.306658
0.479524
# Axis 3
0.383193
0.921166
0.067941
# ---------------
Right Force Sensor
# Axis 1
-0.002554
0.186063
0.982535
# Axis 2
-0.018470
0.982361
-0.186078
# Axis 3
-0.999826
-0.018622
0.000927
