Left Force Sensor
# Axis 1
-0.021585
0.051222
-0.998454
# Axis 2
0.902688
-0.428291
-0.041487
# Axis 3
-0.429754
-0.902188
-0.036993
# ---------------
Right Force Sensor
# Axis 1
-0.086417
0.519585
0.850037
# Axis 2
0.097843
-0.844678
0.526256
# Axis 3
0.991443
0.128648
0.022157
