Left Force Sensor
# Axis 1
-0.016192
-0.032966
0.999325
# Axis 2
0.831022
-0.556218
-0.004883
# Axis 3
0.556003
0.830383
0.036402
# ---------------
Right Force Sensor
# Axis 1
-0.043482
-0.664441
-0.746075
# Axis 2
0.577119
0.592873
-0.561637
# Axis 3
0.815502
-0.454995
0.357682
